a	A
houblon	u b l O~
houille	u j
houiller	u j e
houillère	u j E R
houle	u l
houlette	u l E t
house	a w s
houx	u
huard	H a R
hue	y
hui	H i
huile	H i l
huileux	H i l 2
huis	H i
huissier	H i s j e
huit	H i t
huitième	H i t j E m
huitièmes	H i t j E m
humain	y m E~
humanité	y m a n i t e
humanités	y m a n i t e
humanoïde	y m a n O i d
humble	9~ b l
humeur	y m 9 R
humide	y m i d
humidité	y m i d i t e
humiliation	y m i l j a s j O~
humilité	y m i l i t e
humour	y m u R
huppe	y p
huppé	y p e
hurlant	y R l A~
hutte	y t
huttes	y t
hyacinthe	j a s E~ t
hybridation	i b R i d a s j O~
hybride	i b R i d
hydrates	i d R a t
hydraulique	i d R o l i k
hydravion	i d R a v j O~
hydravions	i d R a v j O~
hydrique	i d R i k
hydrocarbure	i d R O k a R b y R
hydrocarbures	i d R O k a R b y R
hydrogène	i d R O Z E n
hydrophobe	i d R O f O b
hydrostatique	i d R O s t a t i k
hygiène	i Z j E n
hygiénique	i Z j e n i k
hymne	i m n
hyménoptère	i m e n O p t E R
hyperbolique	i p E R b O l i k
hyperboliques	i p E R b O l i k
hypertension	i p E R t A~ s j O~
hypnotique	i p n O t i k
hypocoristique	i p O k O R i s t i k
hypogée	i p O Z e
hypokhâgne	i p O k a J
hypothèse	i p O t E z
hypothèses	i p O t E z
hypothétique	i p O t e t i k
hypothétiques	i p O t e t i k
hyène	j E n
hâte	A t
hé	e
hébergement	e b E R Z @ m A~
héberger	e b E R Z e
hébraïque	e b R a i k
hébreu	e b R 2
hélas	e l A s
hélice	e l i s
hélicoptère	e l i k O p t E R
héliport	e l i p O R
hémicycle	e m i s i k l
hémorragie	e m O R a Z i
héraldique	e R a l d i k
héraut	e R o
hérisson	e R i s O~
héritage	e R i t a Z
héritages	e R i t a Z
hériter	e R i t e
héritier	e R i t j e
héritiers	e R i t j e
héritière	e R i t j E R
héron	e R O~
héros	e R o
héroïne	e R O i n
héroïnes	e R O i n
héroïque	e R O i k
héroïques	e R O i k
héréditaire	e R e d i t E R
hérésie	e R e z i
hérésies	e R e z i
hésiter	e z i t e
hétéroclite	e t e R O k l i t
hétérogène	e t e R O Z E n
hêtraie	E t R E
hêtre	E t R
hêtres	E t R
hôpital	o p i t a l
hôpitaux	O p i t o
hôte	o t
hôtel	O t E l
hôtelier	O t @ l j e
hôtellerie	o t E l R i
hôtels	O t E l
hôtesse	o t E s
i	i
ibis	i b i s
iceberg	a j s b E R g
ici	i s i
ictère	i k t E R
idem	i d E m
identifiant	i d A~ t i f j A~
identification	i d A~ t i f i k a s j O~
identifier	i d A~ t i f j e
identique	i d A~ t i k
idiot	i d j o
idole	i d O l
idyllique	i d i l i k
idéal	i d e a l
idée	i d e
idéogrammes	i d e o g R a m
idéologie	i d e O l O Z i
idéologies	i d e O l O Z i
if	i f
ifs	i f
ignorance	i J O R A~ s
ignorant	i J O R A~
ignorer	i J O R e
il	i l
iliaque	i l j a k
illicite	i l i s i t
illimité	i l i m i t e
illusion	i l y z j O~
illusoire	i l y z w a R
illustration	i l y s t R a s j O~
illustre	i l y s t R
illustrer	i l y s t R e
illustré	i l y s t R e
ils	i l
image	i m a Z
images	i m a Z
imagination	i m a Z i n a s j O~
imaginer	i m a Z i n e
imam	i m a m
imiter	i m i t e
immaculé	i m m a k y l e
immaculé	i m a k y l e
immense	i m A~ s
immeuble	i m 9 b l
immigré	i m i g R e
imminent	i m i n A~
imminente	i m i n A~ t
immobile	i m O b i l
immobilisation	i m O b i l i z a s j O~
immortel	i m O R t E l
immortelle	i m O R t E l
immédiat	i m e d j a
immédiate	i m e d j a t
immédiatement	i m e d j a t m A~
impact	E~ p a k t
impasse	E~ p A s
impeccable	E~ p E k a b l
imperméable	E~ p E R m e a b l
impitoyable	E~ p i t w a j a b l
implacable	E~ p l a k a b l
implicite	E~ p l i s i t
impliquer	E~ p l i k e
implémentation	E~ p l e m A~ t a s j O~
implémenter	E~ p l e m A~ t e
implémenté	E~ p l e m A~ t e
importance	E~ p O R t A~ s
important	E~ p O R t A~
importante	E~ p O R t A~ t
importe	E~ p O R t
importer	E~ p O R t e
imposant	E~ p o z A~
imposer	E~ p o z e
impossibilité	E~ p O s i b i l i t e
impossible	E~ p O s i b l
impression	E~ p R e s j O~
imprime	E~ p R i m
imprimer	E~ p R i m e
imprimerie	E~ p R i m R i
imprimeur	E~ p R i m 9 R
improbable	E~ p R O b a b l
improvisé	E~ p R O v i z e
imprécis	E~ p R e s i
imprécise	E~ p R e s i z
imprécises	E~ p R e s i z
imprévu	E~ p R e v y
imprévus	E~ p R e v y
impuissance	E~ p H i s A~ s
impulsion	E~ p y l s j O~
impédance	E~ p e d A~ s
impératif	E~ p e R a t i f
impératrice	E~ p e R a t R i s
impériale	E~ p E R j a l
impétueux	E~ p e t H 2
impôt	E~ p o
inachevé	i n a S v e
inattendu	i n a t A~ d y
inauguration	i n o g y R a s j O~
inaugure	i n O g y R
inauguré	i n O g y R e
incandescent	E~ k A~ d e s A~
incantation	E~ k A~ t a s j O~
incarnation	E~ k a R n a s j O~
incarner	E~ k a R n e
incendie	E~ s A~ d i
incendies	E~ s A~ d i
incertain	E~ s E R t E~
incertains	E~ s E R t E~
incertitude	E~ s E R t i t y d
incident	E~ s i d A~
incitation	E~ s i t a s j O~
inciter	E~ s i t e
inclinaison	E~ k l i n E z O~
inclure	E~ k l y R
inclus	E~ k l y
inclusion	E~ k l y z j O~
incognito	E~ k O J i t o
incomplet	E~ k O~ p l E
incompris	E~ k O~ p R i
incompréhensible	E~ k O~ p R e A~ s i b l
inconnu	E~ k O n y
inconsciemment	E~ k O~ s j a m A~
incontrôlable	E~ k O~ t R o l a b l
inconvénient	E~ k O~ v e n j A~
incorrect	E~ k O R E k t
inculte	E~ k y l t
incultes	E~ k y l t
index	E~ d E k s
indicatif	E~ d i k a t i f
indication	E~ d i k a s j O~
indice	E~ d i s
indices	E~ d i s
indien	E~ d j E~
indienne	E~ d j E n
indifféremment	E~ d i f e R a m A~
indifférence	E~ d i f e R A~ s
indifférent	E~ d i f e R A~
indigne	E~ d i J
indiquer	E~ d i k e
indirect	E~ d i R E k t
indiscutable	E~ d i s k y t a b l
indispensable	E~ d i s p A~ s a b l
individu	E~ d i v i d y
individuel	E~ d i v i d H E l
indivisible	E~ d i v i z i b l
indonésien	E~ d O n e z j E~
indonésienne	E~ d O n e z j E n
inductif	E~ d y k t i f
inductive	E~ d y k t i v
induire	E~ d H i R
induit	E~ d H i
induite	E~ d H i t
industrie	E~ d y s t R i
industriel	E~ d y s t R i j E l
indéfini	E~ d e f i n i
indéfinie	E~ d e f i n i
indéfiniment	E~ d e f i n i m A~
indéfinis	E~ d e f i n i
indépendance	E~ d e p A~ d A~ s
indépendant	E~ d e p A~ d A~
indépendantiste	E~ n d e p A~ d A~ t i s t
indésirable	E~ d e z i R a b l
inerte	i n E R t
inertes	i n E R t
inertie	i n E R s i
inexistant	i n E g z i s t A~
infaillible	E~ f a j i b l
infanterie	E~ f A~ t R i
infarctus	E~ f a R k t y s
infecter	E~ f E k t e
infection	E~ f E k s j O~
infidèle	E~ f i d E l
infime	E~ f i m
infini	E~ f i n i
infiniment	E~ f i n i m A~
infinitif	E~ f i n i t i f
infirme	E~ f i R m
infirmes	E~ f i R m
infirmier	E~ f i R m j e
infirmière	E~ f i R m j E R
inflammable	E~ f l a m a b l
inflammables	E~ f l a m a b l
inflation	E~ f l a s j O~
inflige	E~ f l i Z
influence	E~ f l y A~ s
influencer	E~ f l y A~ s e
influent	E~ f l y A~
influer	E~ f l y e
info	E~ f o
informaticien	E~ f O R m a t i s j E~
informatif	E~ f O R m a t i f
information	E~ f O R m a s j O~
informe	E~ f O R m
informel	E~ f O R m E l
informelle	E~ f O R m E l
informelles	E~ f O R m E l
informels	E~ f O R m E l
informer	E~ f O R m e
infrarouge	E~ f R a R u Z
infructueuse	E~ f R y k t H 2 z
infusion	E~ f y z j O~
inféodé	E~ f e O d e
inférieur	E~ f e R j 9 R
ingrédient	E~ g R e d j A~
ingénierie	E~ Z e n i R i
ingénieur	E~ Z e n j 9 R
inhiber	i n i b e
initial	i n i s j a l
initiation	i n i s j a s j O~
initier	i n i s j e
injecter	E~ Z E k t e
innocent	i n O s A~
inné	i n n e
inné	i n e
inondation	i n O~ d a s j O~
inox	i n O k s
inquiet	E~ k j E
inquiets	E~ k j E
inquiétude	E~ k j e t y d
inscription	E~ s k R i p s j O~
inscrire	E~ s k R i R
insecte	E~ s E k t
insectes	E~ s E k t
insigne	E~ s i J
insister	E~ s i s t e
insolite	E~ s O l i t
inspecteur	E~ s p E k t 9 R
inspiration	E~ s p i R a s j O~
inspirer	E~ s p i R e
installation	E~ s t a l a s j O~
installer	E~ s t a l e
instance	E~ s t A~ s
instant	E~ s t A~
instantané	E~ s t A~ t a n e
instantanément	E~ s t A~ t a n e m A~
instinct	E~ s t E~
institut	E~ s t i t y
instituteur	E~ s t i t y t 9 R
instituteurs	E~ s t i t y t 9 R
institutrice	E~ s t i t y t R i s
instruction	E~ s t R y k s j O~
instruire	E~ s t R H i R
instrument	E~ s t R y m A~
instrumental	E~ s t R y m A~ t a l
instrumentaux	E~ s t R y m A~ t o
insu	E~ s y
insuffisance	E~ s y f i z A~ s
insuffisant	E~ s y f i z A~
insulte	E~ s y l t
insultes	E~ s y l t
insupportable	E~ s y p O R t a b l
insurrection	E~ s y R E k s j O~
intact	E~ t a k t
intellectuel	E~ t e l E k t H E l
intelligence	E~ t e l i Z A~ s
intelligent	E~ t e l i Z A~
intelligente	E~ t e l i Z A~ t
intelligible	E~ t e l i Z i b l
intense	E~ t A~ s
intensité	E~ t A~ s i t e
intention	E~ t A~ s j O~
intentions	E~ t A~ s j O~
interactif	E~ t E R a k t i f
interaction	E~ t E R a k s j O~
interagir	E~ t E R a Z i R
intercommunalité	E~ t E R k O m y n a l i t e
interculturelle	E~ t E R k y l t y R E l
interdire	E~ t E R d i R
interdit	E~ t E R d i
interface	E~ t E R f a s
interférer	E~ t E R f e R e
intermodal	E~ t E R m O d a l
intermédiaire	E~ t E R m e d j E R
internat	E~ t E R n a
international	E~ t E R n a s j O n a l
interne	E~ t E R n
internet	E~ t E R n E t
interopérabilité	E~ t e R o p e R a b i l i t e
interprète	E~ t E R p R E t
interpréter	E~ t E R p R e t e
interrogation	E~ t E R O g a s j O~
interroger	E~ t E R O Z e
interrompre	E~ t E R O~ p R
interrupteur	E~ t E R y p t 9 R
interrupteurs	E~ t E R y p t 9 R
interruption	E~ t E R y p s j O~
interrégional	E~ t E R e Z j O n a l
intervalle	E~ t E R v a l
intervenir	E~ t E R v @ n i R
interview	E~ t E R v j u
intestin	E~ t E s t E~
intime	E~ t i m
intimes	E~ t i m
intimité	E~ t i m i t e
intitulé	E~ t i t y l e
intouchables	E~ t u S a b l
intramuros	E~ t R a m y R O s
intransigeant	E~ t R A~ z i Z A~
intraveineuse	E~ t R a v e n 2 z
intrigue	E~ t R i g
intrinsèque	E~ t R E~ s E k
introduction	E~ t R O d y k s j O~
introduire	E~ t R O d H i R
intrépide	E~ t R e p i d
intuitif	E~ t H i t i f
intuition	E~ t H i s j O~
intègre	E~ t E g R
intégral	E~ t e g R a l
intégration	E~ t e g r a s j O~
intéressant	E~ t e R E s A~
intéresser	E~ t e R E s e
intérieur	E~ t e R j 9 R
intérieurement	E~ t e R j 9 R m A~
intérim	E~ t e R i m
intérêt	E~ t e R E
intérêts	E~ t e R E
inutile	i n y t i l
inutiles	i n y t i l
inutilisable	i n y t i l i z a b l
inutilisables	i n y t i l i z a b l
inutilisé	i n y t i l i z e
invariable	E~ v a R j a b l
invasion	E~ v a z j O~
inventer	E~ v A~ t e
invention	E~ v A~ s j O~
inverse	E~ v E R s
inversement	E~ v E R s @ m A~
invertébrés	E~ v E R t e b R e
investigation	E~ v E s t i g a s j O~
investir	E~ v E s t i R
investissement	E~ v E s t i s m A~
investiture	E~ v E s t i t y R
invisible	E~ v i z i b l
invitation	E~ v i t a s j O~
inviter	E~ v i t e
invoquer	E~ v O k e
inédit	i n e d i
inégalité	i n e g a l i t e
inéluctable	i n e l y k t a b l
inévitable	i n e v i t a b l
inévitablement	i n e v i t a b l @ m A~
iode	j O d
ion	i O~
iota	j O t a
ira	i R a
irakien	i R a k j E~
iranien	i R a n j E~
ire	i R
iris	i R i s
irlandais	i R l A~ d E
ironie	i R O n i
ironique	i R O n i k
irons	i R O~
iront	i R O~
irresponsable	i R E s p O~ s a b l
irritation	i R i t a s j O~
irritations	i R i t a s j O~
irruption	i R y p s j O~
irréductible	i R e d y k t i b l
irrégulier	i R e g y l j e
irrésistible	i R e z i s t i b l
isabelle	i z a b E l
ischémie	i s k e m i
islam	i s l a m
islamique	i s l a m i k
islandais	i s l A~ d E
isocèle	i z O s E l
isolant	i z O l A~
isoler	i z O l e
isomorphisme	i z O m O R f i s m
isomère	i z O m E R
isotherme	i z O t E R m
isotope	i z o t O p
isotopique	i z O t O p i k
issu	i s y
issue	i s y
isthme	i s m
italien	i t a l j E~
italienne	i t a l j E n
itinéraire	i t i n e R E R
itération	i t e R a s j O~
ivoire	i v w a R
ivre	i v R
ivrogne	i v R O J
ixe	i k s
j'ai	Z e
j'y	Z i
jabot	Z a b o
jachère	Z a S E R
jacinthe	Z a s E~ t
jacques	Z a k
jacquier	Z a k j e
jade	Z a d
jadis	Z a d i s
jaguar	Z a g w a R
jaillir	Z a j i R
jalon	Z a l O~
jalousie	Z a l u z i
jaloux	Z a l u
jamais	Z a m E
jambe	Z A~ b
jambon	Z A~ b O~
jamboree	Z A~ b O R i
jan	Z A~
janséniste	Z A~ s e n i s t
jante	Z A~ t
jantes	Z A~ t
janvier	Z A~ v j e
japonais	Z a p O n E
japonaise	Z a p O n E z
jaquette	Z a k E t
jardin	Z a R d E~
jardinage	Z a R d i n a Z
jardinier	Z a R d i n j e
jarre	Z a R
jarret	Z a R E
jarretière	Z a R t j E R
jas	Z a s
jasmin	Z a s m E~
jauge	Z o Z
jaune	Z o n
jaunes	Z o n
jaunisse	Z o n i s
jaunâtre	Z o n A t R
javanais	Z a v a n E
javanaise	Z a v a n E z
javelot	Z a v l o
jazz	dZ A z
jazzman	dZ A z m a n
je	Z @
jean	dZ i n
jeep	dZ i p
jeep	Z i p
jerez	k s e R E s
jersey	Z E R z E
jet	Z E
jeta	Z @ t a
jetable	Z @ t a b l
jetables	Z @ t a b l
jeter	Z @ t e
jeton	Z @ t O~
jetons	Z @ t O~
jette	Z E t
jeté	Z @ t e
jetée	Z @ t e
jeu	Z 2
jeudi	Z 2 d i
jeune	Z 9 n
jeunes	Z 9 n
jeunesse	Z 9 n E s
jeunet	Z 9 n E
jeux	Z 2
jeûne	Z 2 n
ji	Z i
jihad	dZ i a d
jingle	dZ i N g l
joaillerie	Z O a j R i
joaillier	Z O a j e
job	Z O b
jockey	Z O k E
jogging	dZ O g i N
jogging	Z O g i N
joie	Z w a
joies	Z w a
joindre	Z w E~ d R
joint	Z w E~
joints	Z w E~
jojo	Z o Z o
joke	dZ o k
joker	Z O k E R
joli	Z O l i
jonc	Z O~
jongleur	Z O~ g l 9 R
jonquille	Z O~ k i j
jouant	Z w A~
joue	Z u
jouent	Z u
jouer	Z w e
jouet	Z w E
joueur	Z w 9 R
joug	Z u
joui	Z u i
jouir	Z w i R
jouissance	Z w i s A~ s
jouissant	Z w i s A~
jouit	Z u i
joule	Z u l
jour	Z u R
journal	Z u R n a l
journalier	Z u R n a l j e
journalisme	Z u R n a l i z m
journaliste	Z u R n a l i s t
journée	Z u R n e
jours	Z u R
joute	Z u t
joutes	Z u t
jouvence	Z u v A~ s
jouxtant	Z u k s t A~
jouxte	Z u k s t
jouxtent	Z u k s t
joué	Z w e
jovial	Z O v j a l
joyau	Z w a j o
joyeuse	Z w a j 2 z
joyeux	Z w a j 2
jubilé	Z y b i l e
juché	Z y S e
judas	Z y d a
judaïsme	Z y d a i z m
judo	Z u d o
juge	Z y Z
jugeant	Z y Z A~
jugement	Z y Z m A~
juger	Z y Z e
juges	Z y Z
jugulaire	Z y g y l E R
jugé	Z y Z e
juillet	Z H i j E
juin	Z H E~
julienne	Z y l j E n
jumeau	Z y m o
jumeaux	Z y m o
jumelle	Z y m E l
jumelles	Z y m E l
jument	Z y m A~
jungle	Z 9~ g l
junior	Z y n j O R
jupe	Z y p
jupes	Z y p
jura	Z y R a
jurançon	Z y R A~ s O~
jure	Z y R
jurer	Z y R e
jurez	Z y R e
juridique	Z y R i d i k
jurisprudence	Z y R i s p R y d A~ s
juriste	Z y R i s t
jury	Z y R i
juré	Z y R e
jus	Z y
jusqu'alors	Z y s k a l O R
jusqu'au	Z y s k o
jusqu'aux	Z y s k o
jusqu'en	Z y s k A~
jusqu'ici	Z y s k i s i
jusqu'à	Z y s k a
jusque	Z y s k
juste	Z y s t
justement	Z y s t @ m A~
justes	Z y s t
justice	Z y s t i s
justicier	Z y s t i s j e
justification	Z y s t i f i k a s j O~
juvénile	Z y v e n i l
ka	k A
kaki	k a k i
kamikaze	k a m i k a z e
kanak	k a n a k
kangourou	k A~ g u R u
kaolin	k a O l E~
kappa	k a p a
karaoké	k a R a O k e
karaté	k a R a t e
karst	k a R s t
kayak	k a j a k
kazakh	k a z a k
kelvin	k E l v E~
kermesse	k E R m E s
ketchup	k E tS 9 p
khmer	k m E R
kicker	k i k 9 R
kidnapper	k i d n a p e
kiki	k i k i
kilogramme	k i l O g R a m
kilomètre	k i l O m E t R
kilométrique	k i l O m e t R i k
kinésithérapeute	k i n e z i t e R a p 2 t
kinésithérapie	k i n e z i t e R a p i
kiosque	k j O s k
kirghiz	k i R g i z
kirsch	k i R S
kiwi	k i w i
koinè	k O j n E
krypton	k R i p t O~
ksar	k s a R
ksi	k s i
ku	k y
kurde	k y R d
kyrie	k i R i j e
kyste	k i s t
képi	k e p i
kératine	k e R a t i n
l'	l
l'a	l a
l'on	l O~
l'une	l y n
la	l a
label	l a b E l
labeur	l a b 9 R
laboratoire	l a b O R a t w a R
laborieux	l a b O R j 2
laboureur	l a b u R 9 R
labyrinthe	l a b i R E~ t
lac	l a k
lacet	l a s E
lacs	l a k
lactose	l a k t o z
lacune	l a k y n
lacunes	l a k y n
ladin	l a d E~
ladite	l a d i t
lady	l E d i
lagon	l a g O~
lagopède	l a g O p E d
lagune	l a g y n
lai	l E
laid	l E
laine	l E n
laineux	l E n 2
laisse	l E s
laisser	l e s e
laissé	l E s e
lait	l E
laiterie	l E t R i
laiteux	l E t 2
laitier	l e t j e
laiton	l E t O~
laitue	l E t y
lama	l a m a
lambda	l A~ b d a
lambel	l A~ b E l
lambris	l A~ b R i
lame	l a m
lamelle	l a m E l
lampe	l A~ p
lampes	l A~ p
lamproie	l A~ p R w a
lance	l A~ s
lancement	l A~ s m A~
lancent	l A~ s
lancer	l A~ s e
lancera	l A~ s R a
lances	l A~ s
lanceur	l A~ s 9 R
lancèrent	l A~ s E R
lancé	l A~ s e
landau	l A~ d o
lande	l A~ d
landes	l A~ d
langage	l A~ g a Z
lange	l A~ Z
langouste	l A~ g u s t
langue	l A~ g
lanterne	l A~ t E R n
lanternes	l A~ t E R n
lança	l A~ s a
lapa	l a p a
lapidation	l a p i d a s j O~
lapin	l a p E~
lapins	l a p E~
laps	l a p s y s
laque	l a k
laquelle	l a k E l
lard	l a R
large	l a R Z
largement	l a R Z @ m A~
larges	l a R Z
largeur	l a R Z 9 R
largeurs	l a R Z 9 R
largue	l a R g
larme	l a R m
larmes	l a R m
larve	l a R v
larynx	l a R E~ k s
las	l A
laser	l a z E R
latence	l a t A~ s
latex	l a t E k s
latin	l a t E~
latine	l a t i n
latiniste	l a t i n i s t
latitude	l a t i t y d
latte	l a t
latéral	l a t e R a l
laurier	l O R j e
lavabo	l a v a b o
lavande	l a v A~ d
lave	l a v
laver	l a v e
laves	l a v
laveur	l a v 9 R
lavoir	l a v w a R
laîche	l E S
laïc	l a i k
laïcité	l a i s i t e
laïque	l a i k
le	l @
leader	l i d 9 R
leadership	l i d 9 R S i p
lebel	l @ b E l
lecteur	l E k t 9 R
lectorat	l E k t O R a
lecture	l E k t y R
ledit	l @ d i
legs	l E g
leitmotiv	l a j t m O t i f
lemme	l E m
lendemain	l A~ d m E~
lent	l A~
lente	l A~ t
lentement	l A~ t m A~
lentes	l A~ t
lenteur	l A~ t 9 R
lentille	l A~ t i j
lequel	l @ k E l
les	l e
lesbien	l E z b j E~
lesbienne	l E z b j E n
lesquelles	l e k E l
lesquels	l e k E l
lessive	l e s i v
lest	l E s t
let	l E t
letton	l @ t O~
lettre	l E t R
lettres	l E t R
leur	l 9 R
leurre	l 9 R
leurs	l 9 R
levage	l @ v a Z
levain	l @ v E~
levant	l @ v A~
levante	l @ v A~ t
lever	l @ v e
levier	l @ v j e
levurage	l @ v y R a Z
levure	l @ v y R
levé	l @ v e
levée	l @ v e
lexical	l E k s i k a l
lexicale	l E k s i k a l
lexicales	l E k s i k a l
lexicaux	l E k s i k o
lexique	l E k s i k
lez	l e
leçon	l @ s O~
li	l i
liaison	l j E z O~
libanais	l i b a n E
libellule	l i b e l y l
liber	l i b E R
libertin	l i b E R t E~
libertinage	l i b E R t i n a Z
liberté	l i b E R t e
libido	l i b i d o
libraire	l i b R E R
librairie	l i b R E R i
libre	l i b R
libres	l i b R
libyen	l i b j E~
libéral	l i b e R a l
libération	l i b e R a s j O~
libérer	l i b e R e
libéro	l i b e R o
lice	l i s
licence	l i s A~ s
licences	l i s A~ s
licencier	l i s A~ s j e
lichen	l i k E n
licorne	l i k O R n
lien	l j E~
liens	l j E~
lier	l j e
lierre	l j E R
lieu	l j 2
lieue	l j 2
lieutenance	l j 2 t n A~ s
lieutenant	l j 2 t n A~
lieux	l j 2
lieux	l j 2 z
ligament	l i g a m A~
ligature	l i g a t y R
ligne	l i J
ligné	l i J e
ligue	l i g
lilas	l i l a
liliacées	l i l j a s e
lima	l i m a
limace	l i m a s
limbe	l E~ b
limbes	l E~ b
lime	l i m
limitation	l i m i t a s j O~
limite	l i m i t
limiter	l i m i t e
limitrophe	l i m i t R O f
limoges	l i m O Z
limon	l i m O~
limonade	l i m O n a d
limousin	l i m u z E~
limousine	l i m u z i n
limpide	l E~ p i d
lin	l E~
linceul	l E~ s 9 l
linge	l E~ Z
lingerie	l E~ Z R i
linguiste	l E~ g H i s t
linguistique	l E~ g H i s t i k
linguistiques	l E~ g H i s t i k
linteau	l E~ t o
lion	l j O~
lionne	l j O n
lippe	l i p
liqueur	l i k 9 R
liquidation	l i k i d a s j O~
liquide	l i k i d
lire	l i R
lis	l i s
lise	l i z
liseron	l i z R O~
liseré	l i z R e
lisible	l i z i b l
lisibles	l i z i b l
lisière	l i z j E R
lisse	l i s
lisser	l i s e
liste	l i s t
lister	l i s t e
lit	l i
lithium	l i t j O m
lithographie	l i t O g R a f i
lithosphère	l i t O s f E R
litière	l i t j E R
litre	l i t R
littéraire	l i t e R E R
littéral	l i t e R a l
littéralement	l i t e R a l m A~
littérateur	l i t e R a t 9 R
littérature	l i t e R a t y R
lituanien	l i t H a n j E~
liturgie	l i t y R Z i
living	l i v i N
livraison	l i v R E z O~
livre	l i v R
livrer	l i v R e
livres	l i v R
livreur	l i v R 9 R
livrée	l i v R e
liège	l j E Z
lièvre	l j E v R
lobby	l O b i
lobbying	l O b i i N
local	l O k a l
locale	l O k a l
localement	l o k a l m A~
localisation	l O k a l i z a s j O~
localité	l O k a l i t e
locataire	l O k a t E R
locatif	l O k a t i f
location	l O k a s j O~
loch	l O k
locomotion	l O k O m O s j O~
locomotive	l O k O m O t i v
locution	l O k y s j O~
logarithme	l O g a R i t m
logarithmes	l O g a R i t m
loge	l O Z
logement	l O Z m A~
loger	l O Z e
logiciel	l O Z i s j E l
logique	l O Z i k
logiques	l O Z i k
logis	l O Z i
logistique	l O Z i s t i k
loi	l w a
loin	l w E~
lointain	l w E~ t E~
loir	l w a R
lois	l w a
loisir	l w a z i R
loisirs	l w a z i R
lolo	l o l o
long	l O~
longe	l O~ Z
longer	l O~ Z e
longiligne	l O~ Z i l i J
longitude	l O~ Z i t y d
longtemps	l O~ t A~
longue	l O~ g
longuement	l O~ g m A~
longueur	l O~ g 9 R
look	l u k
lorette	l O R E t
loriot	l O R j o
lors	l O R
lorsqu'il	l O R s k i l
lorsqu'on	l O R s k O~
lorsque	l O R s k
los	l o
losange	l o z A~ Z
loser	l u z 9 R
lot	l o
loterie	l O t R i
lots	l o
lotte	l O t
lotus	l O t y s
louange	l w A~ Z
louche	l u S
loue	l u
louer	l w e
loufoque	l u f O k
louis	l w i
loup	l u
loupe	l u p
lourd	l u R
lourdement	l u R d @ m A~
loutre	l u t R
louve	l u v
lover	l O v e
loyal	l w a j a l
loyale	l w a j a l
loyauté	l w a j o t e
loyaux	l w a j o
loyer	l w a j e
lu	l y
luberon	l y b R O~
lubrifiant	l y b R i f j A~
lucarne	l y k a R n
ludique	l y d i k
ludiques	l y d i k
lueur	l H 9 R
luge	l y Z
lugubre	l y g y b R
lui	l H i
luis	l H i
luisant	l H i z A~
lumineux	l y m i n 2
lumière	l y m j E R
lumières	l y m j E R
lundi	l 9~ d i
lundis	l 9~ d i
lune	l y n
lunette	l y n E t
lunettes	l y n E t
lupin	l y p E~
lus	l y
lustre	l y s t R
luth	l y t
luthier	l y t j e
lutin	l y t E~
lutte	l y t
lutter	l y t e
lutteur	l y t 9 R
lutteurs	l y t 9 R
lutteuse	l y t 2 z
luxation	l y k s a s j O~
luxe	l y k s
luxembourgeois	l y k s A~ b u R Z w a
luxueuse	l y k s H 2 z
luxueux	l y k s H 2
luxure	l y k s y R
luxuriante	l y k s y R j A~ t
luxé	l y k s e
luzerne	l y z E R n
lycée	l i s e
lycées	l i s e
lymphatique	l E~ f a t i k
lynx	l E~ k s
lyre	l i R
lys	l i s
lysine	l i z i n
là	l a
lâche	l A S
lâcher	l A S e
lâcheté	l A S t e
lès	l e
lève	l E v
lèvre	l E v R
lé	l e
légal	l e g a l
légendaire	l e Z A~ d E R
légendaires	l e Z A~ d E R
légende	l e Z A~ d
léger	l e Z e
légiférer	l e Z i f e R e
légionnaire	l e Z j O n E R
législatif	l e Z i s l a t i f
législation	l e Z i s l a s j O~
législatives	l e Z i s l a t i v
légiste	l e Z i s t
légitime	l e Z i t i m
légitimité	l e Z i t i m i t e
léguer	l e g e
légume	l e g y m
légère	l e Z E R
légèrement	l e Z E R m A~
légèreté	l e Z E R t e
léopard	l e O p a R
lépidoptère	l e p i d O p t E R
lépreux	l e p R 2
lévitation	l e v i t a s j O~
lévrier	l e v R i j e
lézard	l e z a R
m	E m
m'a	m a
m'en	m A~
ma	m a
maastrichtien	m a s t R i k s j E~
mac	m a k
macabre	m a k a b R
macaque	m a k a k
macareux	m a k a R 2
machiavélique	m a k j a v e l i k
machin	m a S E~
machine	m a S i n
machinerie	m a S i n R i
machiniste	m a S i n i s t
macho	m a tS o
macron	m a k R O~
macédoine	m a s e d w a n
macédonien	m a s e d O n j E~
madame	m a d a m
madeleine	m a d l E n
mademoiselle	m a d m w a z E l
madone	m a d O n
madras	m a d R A s
madère	m a d E R
maestro	m a E s t R o
magasin	m a g a z E~
magazine	m a g a z i n
magenta	m a Z E~ t a
maghrébin	m a g R e b E~
magie	m a Z i
magique	m a Z i k
magiques	m a Z i k
magistral	m a Z i s t R a l
magistrale	m a Z i s t R a l
magistrat	m a Z i s t R a
magistrats	m a Z i s t R a
magistrature	m a Z i s t R a t y R
magistratures	m a Z i s t R a t y R
magnifique	m a J i f i k
magnifiquement	m a J i f i k m A~
magnifiques	m a J i f i k
magnolia	m a J O l j a
magnum	m a g n O m
magnésium	m a J e z j O m
magyar	m a Z j a R
mai	m E
maigre	m E g R
mail	m a j
