ALES	a_" l e s
klausimu	k_"_F 5_"_F a_"_F U_"_F sj I m U
klausimus	k_"_F 5_"_F a_"_F U_"_F sj I m U s
klausimą	k_"_F 5_"_F a_"_F U_"_F sj I m A:
klausimėlių	k 5 a U sj I mj_"_R e:_"_R lj u:
klausimų	k 5 a U sj I m_"_R u:_"_R
klausimų	k_"_F 5_"_F a_"_F U_"_F sj I m u:
klausinėja	k 5 a U sj I nj_"_F e:_"_F j a
klausinėji	k 5 a U sj I nj_"_F e:_"_F j I
klausinėt	k 5 a U sj I nj_"_F e:_"_F t_"_F
klausiu	k_"_F 5_"_F a_"_F U_"_F sj U
klauso	k_"_R 5_"_R a_"_R U_"_R s o:
klausom	k 5 a U s_"_F O_"_F m_"_F
klausom	k 5 a U s_"_R O_"_R m_"_R
klausom	k_"_R 5_"_R a_"_R U_"_R s O m
klausosi	k_"_R 5_"_R a_"_R U_"_R s o: sj I
klaust	k_"_F 5_"_F a_"_F U_"_F s_"_F t_"_F
klausti	k 5 a U sj_" tj_" I_"
klausti	k_"_F 5_"_F a_"_F U_"_F sj tj I
klausyk	k 5 a U sj_"_F i:_"_F k_"_F
klausykis	k 5 a U sj_"_F i:_"_F kj I s
klausykit	k 5 a U sj_"_F i:_"_F kj I t
klausys	k 5 a U sj_"_R i:_"_R s_"_R
klausyteis	k 5 a U sj_"_F i:_"_F tj E I s
klausyti	k 5 a U sj_"_F i:_"_F tj I
klausytis	k 5 a U sj_"_F i:_"_F tj I s
klausą	k_"_F 5_"_F a_"_F U_"_F s A:
klausą	k_"_R 5_"_R a_"_R U_"_R s A:
klausė	k_"_F 5_"_F a_"_F U_"_F sj e:
klausė	k_"_R 5_"_R a_"_R U_"_R sj e:
klaviatūra	k 5 a vj I j a t u: r_" a_"
klaviatūra	k 5 a vj I j a t_"_R u:_"_R r a
klaviatūra	k 5 a vj a t u: r_" a_"
klaviatūra	k 5 a vj a t_"_R u:_"_R r a
klavišą	k 5 a vj_" I_" S A:
kleckučiai	k lj E ts k_" U_" tS' a I
kleckučių	k lj E ts k_" U_" tS' u:
klientais	k lj I j_"_R E_"_R n_"_R t a I s
klijai	k lj I j_"_R a_"_R I_"_R
klijuok	k lj I j_"_F U_"_F O_"_F k_"_F
klijuos	k lj I j_"_R U_"_R O_"_R s_"_R
klijuosi	k lj I j_"_F U_"_F O_"_F sj I
klijuosiu	k lj I j_"_F U_"_F O_"_F sj U
klijų	k lj I j_"_R u:_"_R
kliovą	k_" lj_" O_" v A:
kliuvo	k_" lj_" U_" v o:
kliūtim	k_"_F lj_"_F u:_"_F tj I m
kloja	k_"_F 5_"_F o:_"_F j a
klota	k 5 o: t_" a_"
klota	k_"_F 5_"_F o:_"_F t a
klubas	k_" 5_" U_" b a s
klubelis	k 5 U bj_"_R {:_"_R lj I s
klubo	k_" 5_" U_" b o:
klubus	k 5 U b_" U_" s_"
klubus	k_" 5_" U_" b U s
klubą	k_" 5_" U_" b A:
knibždėte	k nj I bj Zj_"_F dj_"_F e:_"_F tj E
kniedėm	k nj I e dj_"_F e:_"_F m_"_F
kniedėm	k nj I e dj_"_R e:_"_R m_"_R
kniedžių	k nj I e dZ'_"_R u:_"_R
knyga	k nj i: g_" a_"
knyga	k_"_R nj_"_R i:_"_R g a
knygas	k nj i: g_" a_" s_"
knygos	k_"_R nj_"_R i:_"_R g o: s
knygutėj	k nj i: g_" U_" tj e: j
knygutę	k nj i: g_" U_" tj {:
knygučių	k nj i: g_" U_" tS' u:
knygą	k_"_R nj_"_R i:_"_R g A:
knygų	k_"_R nj_"_R i:_"_R g u:
ko	k_"_R o:_"_R
kodais	k_" O_" d a I s
kodą	k_" O_" d A:
kodėl	k o: dj_"_R e:_"_R 5_"_R
koja	k_"_F o:_"_F j a
kojas	k_"_F o:_"_F j a s
kojines	k_"_F o:_"_F j I nj E s
kojom	k_"_F o:_"_F j O m
kojon	k_"_F o:_"_F j O n
kojos	k_"_F o:_"_F j o: s
koją	k_"_F o:_"_F j A:
kojų	k_"_F o:_"_F j u:
kokia	k o: kj_" a_"
kokia	k_"_F o:_"_F kj a
kokiais	k o: kj_"_R a_"_R I_"_R s_"_R
kokiais	k_"_R o:_"_R kj a I s
kokiam	k o: kj_"_F a_"_F m_"_F
kokiam	k_"_F o:_"_F kj a m
kokias	k_"_F o:_"_F kj a s
kokie	k o: kj_"_R I_"_R e_"_R
kokio	k o: kj_"_R o:_"_R
kokio	k_"_R o:_"_R kj o:
kokioj	k o: kj_"_R O_"_R j_"_R
kokion	k o: kj_"_R O_"_R n_"_R
kokios	k o: kj_"_R o:_"_R s_"_R
kokios	k_"_F o:_"_F kj o: s
kokiu	k o: kj_" U_"
kokiu	k_"_F o:_"_F kj U
kokiuos	k o: kj_"_R U_"_R O_"_R s_"_R
kokiuos	k_"_R o:_"_R kj U O s
kokius	k o: kj_" U_" s_"
kokius	k_"_F o:_"_F kj U s
kokią	k_"_F o:_"_F kj A:
kokių	k o: kj_"_R u:_"_R
kokių	k_"_R o:_"_R kj u:
koks	k_"_F o:_"_F k_"_F s_"_F
kokybiški	k o: kj_"_F i:_"_F bj I Sj kj I
kokybišką	k o: kj_"_F i:_"_F bj I S k A:
kokį	k_"_F o:_"_F kj i:
kokį	k_"_R o:_"_R kj i:
kol	k_"_R O_"_R 5_"_R
kolbos	k_"_F O_"_F 5_"_F b o: s
koldūnų	k O 5 d_"_R u:_"_R n u:
kolegom	k O lj_" E_" g O m
kolegos	k O lj_" E_" g o: s
kolegė	k O lj_" E_" gj e:
kolektyvas	k O lj E k tj_"_R i:_"_R v a s
koliažą	k O lj_"_R A:_"_R Z A:
kolis	k_" O_" lj I s
koloną	k O 5_" O_" n A:
komanda	k O m_"_F a_"_F n_"_F d a
komandai	k O m_"_F a_"_F n_"_F d a I
komandiruotes	k O m a nj dj I r U O tj_" E_" s_"
komandiruotės	k O m a nj dj I r_"_R U_"_R O_"_R tj e: s
komandoj	k O m_"_F a_"_F n_"_F d O j
komandos	k O m_"_F a_"_F n_"_F d o: s
kombikormas	k O mj bj I k_"_F O_"_F r_"_F m a s
kombinezono	k O mj bj I nj E z_" O_" n o:
kombinezoną	k O mj bj I nj E z_" O_" n A:
kombinuoti	k O mj bj I n_"_F U_"_F O_"_F tj I
komedija	k O mj_" E_" dj I j a
komisariatas	k O mj I s a rj I j_"_R A:_"_R t a s
komisijos	k O mj_" I_" sj I j o: s
kompai	k_"_F O_"_F m_"_F p a I
kompais	k_"_F O_"_F m_"_F p a I s
kompanija	k O m p_"_R A:_"_R nj I j a
kompanijoj	k O m p_"_R A:_"_R nj I j O j
kompaniją	k O m p_"_R A:_"_R nj I j A:
kompas	k_"_F O_"_F m_"_F p a s
kompensacijas	k O mj pj E n s_"_R A:_"_R ts' I j a s
kompensuoja	k O mj pj E n s_"_F U_"_F O_"_F j a
kompensuosim	k O mj pj E n s_"_F U_"_F O_"_F sj I m
kompiuteriais	k O mj pj_" U_" tj E rj a I s
kompiuterin	k O mj pj_" U_" tj E rj I n
kompiuterine	k O mj pj U tj E rj I nj_" E_"
kompiuterine	k O mj pj U tj E rj_" I_" nj E
kompiuterio	k O mj pj_" U_" tj E rj o:
kompiuteris	k O mj pj_" U_" tj E rj I s
kompiuteriu	k O mj pj_" U_" tj E rj U
kompiuterių	k O mj pj_" U_" tj E rj u:
kompiutery	k O mj pj_" U_" tj E rj i:
kompiuterį	k O mj pj_" U_" tj E rj i:
kompleksuoju	k O mj pj lj E k s_"_F U_"_F O_"_F j U
komplektas	k O mj pj_" lj_" E_" k_" t a s
komplektų	k O mj pj_" lj_" E_" k_" t u:
kompo	k_"_F O_"_F m_"_F p o:
kompromisas	k O m p r O mj_" I_" s a s
kompromiso	k O m p r O mj_" I_" s o:
kompromisą	k O m p r O mj_" I_" s A:
kompu	k_"_F O_"_F m_"_F p U
kompą	k_"_F O_"_F m_"_F p A:
kon	k_"_R O_"_R n_"_R
koncertan	k O nj ts'_"_F E_"_F r_"_F t a n
koncertas	k O nj ts'_"_F E_"_F r_"_F t a s
koncerte	k O nj ts' E rj tj_" E_"
koncerte	k O nj ts'_"_F E_"_F rj_"_F tj E
koncerto	k O nj ts'_"_F E_"_F r_"_F t o:
koncertą	k O nj ts'_"_F E_"_F r_"_F t A:
kondicionieriai	k O nj dj I ts' I j O nj_"_R I_"_R e_"_R rj a I
konferencija	k O nj fj E rj_"_R E_"_R nj_"_R ts' I j a
konferencinius	k O nj fj E rj_"_R E_"_R nj_"_R ts' I nj U s
konkretesnius	k O nj k rj E tj E sj_" nj_" U_" s_"
konkrečiai	k O nj k rj E tS'_"_R a_"_R I_"_R
konkrečiai	k O nj k_" rj_" E_" tS' a I
konkurentai	k O n k U rj_"_R E_"_R n_"_R t a I
konkursai	k O n k_"_F U_"_F r_"_F s a I
konkursas	k O n k_"_F U_"_F r_"_F s a s
konkursas	k_"_F O_"_F n_"_F k U r s a s
konservus	k O nj sj_"_F E_"_F r_"_F v U s
konstruosiu	k O n s_"_F t_"_F r_"_F U_"_F O_"_F sj U
kontaktas	k O n t_"_R A:_"_R k_"_R t a s
kontroliniai	k O n t_" r_" O_" lj I nj a I
kontrolinį	k O n t_" r_" O_" lj I nj i:
kontruoliuoja	k O n t r U O lj_"_F U_"_F O_"_F j a
koordinuoju	k O O rj dj I n_"_F U_"_F O_"_F j U
koordinuoju	k O rj dj I n_"_F U_"_F O_"_F j U
kopija	k_" O_" pj I j a
kopūstai	k o: p_"_R u:_"_R s t a I
kopūstgalvis	k O p u: z d g_"_R a_"_R lj_"_R vj I s
kopūstus	k o: p u: s_" t_" U_" s_"
kopūstų	k o: p_"_R u:_"_R s t u:
korekt	k O rj_" E_" k_" t_"
koridoriaus	k O rj_" I_" d O rj a U s
koridoriuj	k O rj_" I_" d O rj U j
koridoriun	k O rj_" I_" d O rj U n
koridorių	k O rj_" I_" d O rj u:
koridorių	k O rj_" I_" d o: rj u:
koronė	k o: r_"_R o:_"_R nj e:
koronę	k o: r_"_R o:_"_R nj {:
kortele	k O rj tj E lj_" E_"
kortele	k O rj tj_"_R {:_"_R lj E
kortelių	k O rj tj_"_R {:_"_R lj u:
kortelės	k O rj tj_"_R {:_"_R lj e: s
kortelę	k O rj tj_"_R {:_"_R lj {:
kosmetinę	k O sj_" mj_" E_" tj I nj {:
kosti	k_"_F o:_"_F sj tj I
kostiumais	k O sj_" tj_" U_" m a I s
kostiumas	k O sj_" tj_" U_" m a s
kostiumą	k O sj_" tj_" U_" m A:
kostiumą	k_" O_" sj tj U m A:
kostiumėliu	k O sj tj U mj e: lj_" U_"
kosuliuks	k o: s U lj_" U_" k_" s_"
kosulys	k o: s U lj_"_R i:_"_R s_"_R
kosėjo	k_"_F o:_"_F sj e: j o:
kosėti	k_"_F o:_"_F sj e: tj I
kotletus	k O tj lj E t_" U_" s_"
kotus	k_"_F o:_"_F t U s
kovas	k o: v_" a_" s_"
kovas	k_"_F o:_"_F v a s
kovo	k_"_F o:_"_F v o:
košmarai	k O S_"_R m_"_R A:_"_R r a I
košmaras	k o: S_"_R m_"_R A:_"_R r a s
košės	k_"_F o:_"_F Sj e: s
košės	k_"_R o:_"_R Sj e: s
košę	k_"_F o:_"_F Sj {:
košę	k_"_R o:_"_R Sj {:
kožną	k_"_R o:_"_R Z n A:
kraigą	k_"_R r_"_R a_"_R I_"_R g A:
kramsnoji	k r a m s_"_F n_"_F o:_"_F j I
kranto	k_"_R r_"_R a_"_R n_"_R t o:
krapnojo	k r a p_"_F n_"_F o:_"_F j o:
kraujo	k_"_R r_"_R a_"_R U_"_R j o:
kraują	k_"_R r_"_R a_"_R U_"_R j A:
kraustau	k_"_F r_"_F a_"_F U_"_F s t a U
kraustėsi	k_"_F r_"_F a_"_F U_"_F sj tj e: sj I
krausčiausi	k_"_F r_"_F a_"_F U_"_F Sj tS' a U sj I
kraut	k_"_F r_"_F a_"_F U_"_F t_"_F
krautuvės	k_"_F r_"_F a_"_F U_"_F t U vj e: s
kraštai	k r a S_"_R t_"_R a_"_R I_"_R
krašte	k r a Sj_" tj_" E_"
krašte	k_"_R r_"_R A:_"_R Sj tj E
krašto	k_"_R r_"_R A:_"_R S t o:
kraštų	k r a S_"_R t_"_R u:_"_R
kreipiuosi	k rj E I pj_"_F U_"_F O_"_F sj I
kremas	k_" rj_" E_" m a s
krepšininkam	k_"_R rj_"_R {:_"_R pj_"_R Sj I nj I n k a m
krepšininkų	k_"_R rj_"_R {:_"_R pj_"_R Sj I nj I n k u:
krepšinio	k rj E pj Sj_" I_" nj o:
krepšio	k_"_R rj_"_R {:_"_R pj_"_R Sj o:
krepšį	k_"_R rj_"_R {:_"_R pj_"_R Sj i:
krevečių	k rj E vj_" E_" tS' u:
kriaukle	k rj a U k_" lj_" E_"
kriaukle	k_"_F rj_"_F a_"_F U_"_F k lj E
kriaukle	k_"_R rj_"_R a_"_R U_"_R k lj E
krikštamotei	k rj I k S_"_R t_"_R A:_"_R m o: tj E I
krikštamotė	k rj I k S_"_R t_"_R A:_"_R m o: tj e:
krikštijom	k_" rj_" I_" k_" Sj tj I j O m
krikštynos	k rj I k Sj_"_R tj_"_R i:_"_R n o: s
krikštynų	k rj I k Sj_"_R tj_"_R i:_"_R n u:
krisdavo	k_" rj_" I_" z d a v o:
krito	k_" rj_" I_" t o:
kroupų	k_"_F r_"_F O_"_F U_"_F p u:
krousų	k_"_F r_"_F O_"_F U_"_F s u:
kroviau	k_"_F r_"_F o:_"_F vj a U
kruopštumo	k r U O p S_" t_" U_" m o:
kruopščiai	k_"_R r_"_R U_"_R O_"_R pj_"_R Sj tS' a I
kruopščiau	k r U O pj Sj_"_R tS'_"_R a_"_R U_"_R
kruopų	k_"_R r_"_R U_"_R O_"_R p u:
krutam	k_" r_" U_" t a m
krutinę	k_" r_" U_" tj I nj {:
krutu	k r U t_" U_"
krutėdavo	k r U tj_"_F e:_"_F d a v o:
kryžio	k_"_R rj_"_R i:_"_R Zj o:
kryžiuj	k_"_R rj_"_R i:_"_R Zj U j
krūminius	k_"_F r_"_F u:_"_F mj I nj U s
krūmą	k_"_F r_"_F u:_"_F m A:
krūtinė	k r u: tj_" I_" nj e:
krūtinės	k r u: tj_" I_" nj e: s
krūtinę	k r u: tj_" I_" nj {:
krūva	k r u: v_" a_"
krūvelę	k r u: vj_"_R {:_"_R lj {:
ksevasivėdė	k sj E v a sj I vj_"_F e:_"_F dj e:
kubais	k_" U_" b a I s
kubas	k_" U_" b a s
kubą	k_" U_" b A:
kudakuoji	k U d a k_"_F U_"_F O_"_F j I
kugelį	k_" U_" gj E lj i:
kuičiausi	k U i tS'_"_R a_"_R U_"_R sj I
kukurūzus	k U k U r u: z_" U_" s_"
kukū	k_" U_" k u:
kulniuku	k U lj nj U k_" U_"
kultūra	k U 5 t u: r_" a_"
kultūra	k U 5 t_"_R u:_"_R r a
kultūringa	k U 5 t u: rj_"_F I_"_F n_"_F g a
kultūrinis	k U 5 t_"_R u:_"_R rj I nj I s
kultūrintis	k U 5 t_"_R u:_"_R rj I nj tj I s
kulšeles	k U lj Sj_"_R {:_"_R lj E s
kulšelę	k U lj Sj_"_R {:_"_R lj {:
kunigo	k_" U_" nj I g o:
kuo	k_"_R U_"_R O_"_R
kuoki	k U O kj_" I_"
kuoki	k_"_F U_"_F O_"_F kj I
kuošis	k_"_F U_"_F O_"_F Sj I s
kuošis	k_"_R U_"_R O_"_R Sj I s
kuponus	k U p O n_" U_" s_"
kuponus	k U p_" O_" n U s
kuponą	k U p_" O_" n A:
kuprinę	k U pj_" rj_" I_" nj {:
kur	k_"_R U_"_R r_"_R
kuri	k U rj_" I_"
kuriam	k U rj_"_F a_"_F m_"_F
kuriam	k_" U_" rj a m
kurias	k U rj_" a_" s_"
kurias	k_" U_" rj a s
kuriat	k_" U_" rj a t
kurie	k U rj_"_R I_"_R e_"_R
kuriem	k U rj_"_F I_"_F e_"_F m_"_F
kurio	k U rj_"_R o:_"_R
kurioj	k U rj_"_R O_"_R j_"_R
kurioje	k U rj o: j_" E_"
kurion	k U rj_"_R O_"_R n_"_R
kurios	k U rj_"_R o:_"_R s_"_R
kuris	k U rj_" I_" s_"
kuriu	k U rj_" U_"
kuriuo	k U rj_"_R U_"_R O_"_R
kuriuos	k U rj_"_F U_"_F O_"_F s_"_F
kuriuos	k U rj_"_R U_"_R O_"_R s_"_R
kurią	k U rj_"_R A:_"_R
kurių	k U rj_"_R u:_"_R
kurmi	k_"_F U_"_F rj_"_F mj I
kurse	k_"_F U_"_F rj_"_F sj E
kursiokei	k U rj sj_"_R o:_"_R kj E I
kursus	k_"_F U_"_F r_"_F s U s
kurt	k_"_F U_"_F r_"_F t_"_F
kurtis	k_"_F U_"_F rj_"_F tj I s
kurtis	k_"_R U_"_R rj_"_R tj I s
kurylkoj	k U rj_"_F i:_"_F 5_"_F k O j
kurą	k_" U_" r A:
kurį	k U rj_"_R i:_"_R
kutru	k U t_" r_" U_"
kvadratūrą	k v a d r a t_"_R u:_"_R r A:
kvaila	k v a I 5_" a_"
kvaila	k_"_R v_"_R a_"_R I_"_R 5 a
kvailas	k v a I 5_" a_" s_"
kvailas	k_"_R v_"_R a_"_R I_"_R 5 a s
kvailioja	k v a I lj_"_F o:_"_F j a
kvailuoja	k v a I 5_"_F U_"_F O_"_F j a
kvapas	k_"_R v_"_R A:_"_R p a s
kvapo	k_"_R v_"_R A:_"_R p o:
kvepaliukų	k vj E p a lj_" U_" k u:
kvepalų	k vj E p a 5_"_R u:_"_R
kvepia	k_"_R vj_"_R {:_"_R pj a
kvepiančios	k_"_R vj_"_R {:_"_R pj a nj tS' o: s
kvepinkis	k vj E pj_"_F I_"_F nj_"_F kj I s
kvepinkis	k_"_R vj_"_R {:_"_R pj I nj kj I s
kviesi	k_"_R vj_"_R I_"_R e_"_R sj I
kviest	k_"_R vj_"_R I_"_R e_"_R s_"_R t_"_R
kvieti	k vj I e tj_" I_"
kvietėm	k_"_R vj_"_R I_"_R e_"_R tj e: m
kviečia	k_"_R vj_"_R I_"_R e_"_R tS' a
kviečiasi	k_"_R vj_"_R I_"_R e_"_R tS' a sj I
kviečiau	k vj I e tS'_"_R a_"_R U_"_R
kviečių	k vj I e tS'_"_R u:_"_R
kyborgu	kj_"_F i:_"_F b O r g U
kyla	kj_"_R i:_"_R 5 a
ką	k_"_R A:_"_R
kėdę	kj_"_R e:_"_R dj {:
kėdžių	kj e: dZ'_"_R u:_"_R
kėlė	kj_"_F e:_"_F lj e:
kūdas	k_"_R u:_"_R d a s
kūno	k_"_F u:_"_F n o:
kūrenamo	k u: rj_"_R {:_"_R n a m o:
kūrenasi	k u: rj_"_R {:_"_R n a sj I
kūrenat	k u: rj_"_R {:_"_R n a t
kūrenau	k u: rj E n_"_R a_"_R U_"_R
kūrensim	k u: rj_"_F E_"_F nj_"_F sj I m
kūrent	k u: rj_"_F E_"_F n_"_F t_"_F
kūriau	k_"_F u:_"_F rj a U
kūrinių	k u: rj I nj_"_R u:_"_R
kūrė	k_"_F u:_"_F rj e:
kūties	k u: tj_"_R I_"_R e_"_R s_"_R
kūčiukai	k u: tS'_" U_" k a I
kūčiukus	k u: tS' U k_" U_" s_"
kūčiukų	k u: tS'_" U_" k u:
laba	5 a b_" a_"
labai	5 a b_"_R a_"_R I_"_R
labas	5_"_R A:_"_R b a s
labia	5_" a_" bj a
labiau	5 a bj_"_R a_"_R U_"_R
labiausia	5 a bj_"_F a_"_F U_"_F sj a
labiausiai	5 a bj_"_F a_"_F U_"_F sj a I
laborantės	5 a b O r_"_F a_"_F nj_"_F tj e: s
laboratorijoj	5 a b O r a t_" O_" rj I j O j
labukas	5 a b_" U_" k a s
labą	5_"_R A:_"_R b A:
lagaminas	5 a g a mj_" I_" n a s
lagamino	5 a g a mj_" I_" n o:
lagaminą	5 a g a mj_" I_" n A:
lai	5_"_R a_"_R I_"_R
laidai	5 a I d_"_R a_"_R I_"_R
laidai	5_"_R a_"_R I_"_R d a I
laido	5_"_R a_"_R I_"_R d o:
laidos	5 a I d_"_R o:_"_R s_"_R
laidos	5_"_F a_"_F I_"_F d o: s
laidos	5_"_R a_"_R I_"_R d o: s
laidotuvių	5_"_F a_"_F I_"_F d o: t U vj u:
laidotuvės	5_"_F a_"_F I_"_F d o: t U vj e: s
laidus	5 a I d_" U_" s_"
laikai	5 a I k_"_R a_"_R I_"_R
laikais	5 a I k_"_R a_"_R I_"_R s_"_R
laikaisi	5 a I k_"_R a_"_R I_"_R sj I
laikas	5_"_R a_"_R I_"_R k a s
laikau	5 a I k_"_R a_"_R U_"_R
laikaus	5 a I k_"_R a_"_R U_"_R s_"_R
laikei	5 a I kj_"_R E_"_R I_"_R
laikiau	5 a I kj_"_R a_"_R U_"_R
laikiną	5_"_R a_"_R I_"_R kj I n A:
laiko	5_"_R a_"_R I_"_R k o:
laikom	5_"_R a_"_R I_"_R k O m
laikos	5_"_R a_"_R I_"_R k o: s
laikosi	5_"_R a_"_R I_"_R k o: sj I
laikotarpis	5 a I k_"_F o:_"_F t a rj pj I s
laikotarpį	5 a I k_"_F o:_"_F t a rj pj i:
laikotės	5_"_R a_"_R I_"_R k o: tj e: s
laikrodį	5_"_R a_"_R I_"_R k r o: dj i:
laiku	5 a I k_" U_"
laikui	5_"_R a_"_R I_"_R k U i
laikus	5 a I k_" U_" s_"
laikydavo	5 a I kj_"_F i:_"_F d a v o:
laikysi	5 a I kj_"_F i:_"_F sj I
laikysis	5 a I kj_"_F i:_"_F sj I s
laikyt	5 a I kj_"_F i:_"_F t_"_F
laikyti	5 a I kj_"_F i:_"_F tj I
laikytis	5 a I kj_"_F i:_"_F tj I s
laiką	5_"_R a_"_R I_"_R k A:
laikė	5_"_R a_"_R I_"_R kj e:
laikų	5 a I k_"_R u:_"_R
laimei	5_"_F a_"_F I_"_F mj E I
laimi	5 a I mj_" I_"
laimi	5_"_R a_"_R I_"_R mj I
laimėjau	5 a I mj_"_F e:_"_F j a U
laimėjimo	5 a I mj_"_F e:_"_F j I m o:
laimėjo	5 a I mj_"_F e:_"_F j o:
laimėjom	5 a I mj_"_F e:_"_F j O m
laipsniai	5_"_F a_"_F I_"_F pj_"_F sj nj a I
laipsnis	5_"_F a_"_F I_"_F pj_"_F sj nj I s
laipsnių	5_"_F a_"_F I_"_F pj_"_F sj nj u:
laiptai	5_"_F a_"_F I_"_F p_"_F t a I
laiptelius	5 a I pj tj E lj_" U_" s_"
laiptinėj	5 a I pj tj_" I_" nj e: j
laiptinėj	5_"_F a_"_F I_"_F pj_"_F tj I nj e: j
laiptinę	5 a I pj tj_" I_" nj {:
laiptinę	5_"_F a_"_F I_"_F pj_"_F tj I nj {:
laiptus	5_"_F a_"_F I_"_F p_"_F t U s
laiptų	5_"_F a_"_F I_"_F p_"_F t u:
laisva	5 a I s v_" a_"
laisva	5_"_R a_"_R I_"_R s_"_R v a
laisvai	5 a I s v_"_R a_"_R I_"_R
laisvas	5_"_R a_"_R I_"_R s_"_R v a s
laisvesnis	5 a I sj vj_" E_" sj nj I s
laisvo	5_"_R a_"_R I_"_R s_"_R v o:
laisvu	5 a I s_" v_" U_"
laisvu	5_"_F a_"_F I_"_F s v U
laisvumą	5 a I s v_" U_" m A:
laisvą	5_"_R a_"_R I_"_R s_"_R v A:
laisvę	5_"_F a_"_F I_"_F sj_"_F vj {:
laisvų	5 a I s v_"_R u:_"_R
laiškas	5_"_F a_"_F I_"_F S k a s
laišką	5_"_F a_"_F I_"_F S k A:
laksto	5_"_R A:_"_R k_"_R s t o:
lakstyt	5 a k sj_"_F tj_"_F i:_"_F t_"_F
lakstė	5_"_R A:_"_R k_"_R sj tj e:
laką	5_"_R A:_"_R k A:
landą	5_"_R a_"_R n_"_R d A:
langai	5 a n g_"_R a_"_R I_"_R
langais	5 a n g_"_R a_"_R I_"_R s_"_R
langas	5_"_F a_"_F n_"_F g a s
langetę	5 a nj gj_" E_" tj {:
lango	5_"_F a_"_F n_"_F g o:
langu	5_"_F a_"_F n_"_F g U
langus	5_"_F a_"_F n_"_F g U s
langą	5_"_F a_"_F n_"_F g A:
langų	5 a n g_"_R u:_"_R
lankai	5 a n k_"_R a_"_R I_"_R
lankstuose	5_"_R a_"_R n_"_R k_"_R s t U O sj E
lankstyt	5 a nj k sj_"_F tj_"_F i:_"_F t_"_F
lankstų	5_"_R a_"_R n_"_R k_"_R s t u:
lapai	5_"_R A:_"_R p a I
lapelius	5 a pj E lj_" U_" s_"
lapkritis	5_"_R A:_"_R pj_"_R k rj I tj I s
lapkritį	5_"_R A:_"_R pj_"_R k rj I tj i:
lapkričio	5_"_R A:_"_R pj_"_R k rj I tS' o:
lapuko	5 a p_" U_" k o:
lapukus	5 a p U k_" U_" s_"
lapuką	5 a p_" U_" k A:
lapus	5 a p_" U_" s_"
lapų	5_"_R A:_"_R p u:
laringitas	5 a rj I nj gj_" I_" t a s
lauk	5_"_F a_"_F U_"_F k_"_F
lauk	5_"_R a_"_R U_"_R k_"_R
laukan	5 a U k_"_R a_"_R n_"_R
laukas	5_"_R a_"_R U_"_R k a s
laukdamas	5_"_F a_"_F U_"_F g_"_F d a m a s
lauke	5 a U kj_" E_"
lauke	5_"_R a_"_R U_"_R kj E
lauki	5_"_F a_"_F U_"_F kj I
laukia	5_"_F a_"_F U_"_F kj a
laukiam	5_"_F a_"_F U_"_F kj a m
laukiau	5_"_F a_"_F U_"_F kj a U
laukinė	5 a U kj_" I_" nj e:
laukinę	5 a U kj_" I_" nj {:
laukit	5_"_F a_"_F U_"_F kj I t
laukiu	5_"_F a_"_F U_"_F kj U
lauko	5_"_R a_"_R U_"_R k o:
lauksi	5_"_F a_"_F U_"_F k_"_F sj I
lauksiu	5_"_F a_"_F U_"_F k_"_F sj U
lauksma	5_"_F a_"_F U_"_F k_"_F s m a
laukt	5_"_F a_"_F U_"_F k_"_F t_"_F
laukti	5_"_F a_"_F U_"_F k_"_F tj I
lauktum	5_"_F a_"_F U_"_F k_"_F t U m
lauktuvių	5 a U k t_" U_" vj u:
lauku	5 a U k_" U_"
lauką	5_"_R a_"_R U_"_R k A:
laukė	5_"_F a_"_F U_"_F kj e:
lauro	5_"_F a_"_F U_"_F r o:
laužo	5_"_F a_"_F U_"_F Z o:
laužus	5_"_F a_"_F U_"_F Z U s
laužyną	5 a U Zj_"_F i:_"_F n A:
lazdeles	5 a zj dj E lj_" E_" s_"
lazdeles	5 a zj_"_R dj_"_R {:_"_R lj E s
lašiniai	5 a Sj I nj_"_R a_"_R I_"_R
lašinuką	5 a Sj I n_" U_" k A:
lašiša	5 a Sj I S_" a_"
lašišos	5 a Sj_" I_" S o: s
lašišų	5 a Sj_" I_" S u:
ledas	lj_"_R {:_"_R d a s
ledo	lj_"_R {:_"_R d o:
ledukai	lj E d_" U_" k a I
leduką	lj E d_" U_" k A:
ledų	lj E d_"_R u:_"_R
leidi	lj_"_F E_"_F I_"_F dj I
leidimų	lj E I dj_" I_" m u:
leidžia	lj_"_F E_"_F I_"_F dZ' a
leisgyviai	lj_"_R E_"_R I_"_R zj gj i: vj a I
leist	lj_"_F E_"_F I_"_F s_"_F t_"_F
leisti	lj_"_F E_"_F I_"_F sj tj I
leistis	lj_"_F E_"_F I_"_F sj tj I s
leistų	lj_"_F E_"_F I_"_F s t u:
lekalai	lj E k_"_R A:_"_R 5 a I
lekalų	lj E k_"_R A:_"_R 5 u:
lempa	lj_"_F E_"_F m_"_F p a
lempų	lj_"_F E_"_F m_"_F p u:
lenda	lj_"_R E_"_R n_"_R d a
lengva	lj E n g v_" a_"
lengva	lj_"_R E_"_R n_"_R g_"_R v a
lengvai	lj E n g_"_R v_"_R a_"_R I_"_R
lengvai	lj_"_R E_"_R n_"_R g v a I
lengvas	lj E n g_" v_" a_" s_"
